ID	Nombre	Descripción	Alimentos Permitidos	Alimentos Prohibidos	Calorias	Comidas
--------------------------------------------------------------------------------
0uEOrCHkDQwdDSEJEMBk	Dieta HCG	Dieta muy restrictiva que se combina con la hormona HCG para promover una rápida pérdida de peso.	['Proteínas magras', 'Vegetales no feculentos', 'Frutas bajas en azúcar']	['Azúcares', 'Grasas', 'Alcohol', 'Alimentos procesados']	500-800 kcal	2-3 comidas pequeñas al día
2bbSPTFfgBQ3T3Rgl6bZ	Dieta de Definición Avanzada	Plan nutricional muy estricto para atletas que buscan la máxima definición muscular para competiciones.	['Pechuga de pollo', 'Claras de huevo', 'Pescado blanco', 'Vegetales de hoja verde', 'Frutos secos', 'Aceite de coco']	['Azúcares', 'Harinas refinadas', 'Lácteos', 'Alcohol', 'Alimentos procesados']	1500-1800 kcal	6 comidas repartidas a lo largo del día
3i8fmpvtO0AvoJHu8Xfz	Dieta Cetogénica	Alimentación baja en carbohidratos y alta en grasas que induce la cetosis para favorecer la quema de grasa.	['Carnes', 'Huevos', 'Aguacate', 'Aceite de coco', 'Verduras de hoja verde']	['Azúcares', 'Cereales', 'Legumbres', 'Frutas con alto contenido de azúcar']	1600-2000 kcal	3-4 comidas: desayuno, almuerzo, cena y opcional merienda
40L71xwNvcZKqjGjZMez	Dieta Proteica para Definición	Dieta alta en proteínas para ayudar a mantener la masa muscular mientras se reduce el porcentaje de grasa.	['Pollo', 'Pavo', 'Pescado blanco', 'Huevos', 'Tofu', 'Quinoa', 'Espinacas']	['Azúcares refinados', 'Harinas refinadas', 'Alcohol', 'Frituras']	1800-2200 kcal	5 comidas: desayuno, media mañana, almuerzo, merienda y cena
4rWlK3OyDT13xGMPC0zZ	Dieta Detox	Una dieta temporal para limpiar el organismo y mejorar el bienestar general.	['Frutas', 'Verduras', 'Jugos naturales', 'Infusiones', 'Frutos secos']	['Alcohol', 'Comida procesada', 'Azúcares refinados']	1500-1800 kcal	3 comidas principales y 2 snacks
6maWpiDzxpjnYUsSlYNw	Dieta DASH	Dieta diseñada para ayudar a reducir la presión arterial y mejorar la salud cardiovascular.	['Frutas', 'Verduras', 'Granos enteros', 'Lácteos bajos en grasa', 'Proteínas magras']	['Sodio en exceso', 'Alimentos procesados', 'Bebidas azucaradas']	1800-2200 kcal	3 comidas principales y 2 snacks
6vrDoFbfNXulwCiO4HAz	Dieta Vegana Equilibrada	La dieta vegana equilibrada se basa en el consumo exclusivo de alimentos de origen vegetal, excluyendo todos los productos de origen animal. Con una planificación adecuada, puede proporcionar todos los nutrientes necesarios para una salud óptima, excepto la vitamina B12, que debe suplementarse.	['Legumbres', 'Tofu', 'Tempeh', 'Seitan', 'Frutos secos', 'Semillas', 'Cereales integrales', 'Pseudocereales', 'Frutas', 'Verduras', 'Algas', 'Levadura nutricional', 'Leches vegetales', 'Aceites vegetales']	['Carnes', 'Pescados', 'Mariscos', 'Huevos', 'Lácteos', 'Miel', 'Gelatina', 'Alimentos con ingredientes de origen animal']	1800-2400 kcal	4-5 comidas: desayuno, media mañana, almuerzo, merienda y cena
8sKBRjAIZED8RKYHpCpc	Dieta Alcalina	Dieta basada en alimentos alcalinos para equilibrar el pH del organismo y reducir la inflamación.	['Vegetales verdes', 'Frutas', 'Semillas', 'Legumbres', 'Aceite de oliva']	['Carnes rojas', 'Lácteos', 'Azúcares refinados', 'Cafeína', 'Alcohol']	1700-2000 kcal	3 comidas principales y 2 snacks
AhWrRUbuFK6LKsN0MqRq	Dieta sin Lactosa	Plan alimenticio para personas con intolerancia a la lactosa que elimina los lácteos convencionales.	['Bebidas vegetales', 'Tofu', 'Carnes', 'Pescados', 'Huevos', 'Frutas']	['Leche', 'Queso', 'Yogur', 'Helados', 'Mantequilla']	1800-2200 kcal	3 comidas principales y 2 snacks
CCjnARNHH4b3vCL7Vz8K	Dieta Flexitariana	Una dieta semi-vegetariana que permite flexibilidad en la ingesta de proteínas animales.	['Vegetales', 'Legumbres', 'Carne magra', 'Pescado', 'Frutos secos']	['Carnes rojas en exceso', 'Alimentos procesados']	1900-2300 kcal	3 comidas principales y 2 snacks
CxhM2ZogP8hSAvbftYnR	Dieta para Hipertrofia	Diseñada para favorecer el crecimiento muscular a través de una alta ingesta calórica y proteica.	['Carne magra', 'Pescado', 'Huevos', 'Arroz integral', 'Pasta integral', 'Frutas', 'Verduras']	['Comida rápida', 'Dulces', 'Bebidas azucaradas']	2500-3000 kcal	6 comidas distribuidas a lo largo del día
DXFQVflpN7POZRtyuGHN	Dieta Pescetariana	Dieta que excluye carnes pero incluye pescados y mariscos como fuente principal de proteína animal.	['Pescados', 'Mariscos', 'Huevos', 'Lácteos', 'Legumbres', 'Frutas', 'Verduras']	['Carnes rojas', 'Aves', 'Embutidos']	1800-2200 kcal	3 comidas principales y 2 snacks
EgdNoeHOsZd6ZYMHyCZG	Dieta de Ayuno Intermitente	Patrón alimenticio que alterna períodos de ayuno y alimentación, enfocado en cuándo comer más que en qué comer.	['Todos los alimentos saludables dentro de la ventana alimenticia']	['Cualquier alimento fuera de la ventana de alimentación', 'Ultraprocesados']	1800-2200 kcal	2-3 comidas concentradas en ventana de 8 horas
FeQ2TbgM4QuHOrtu4qTg	Dieta Paleo	Basada en la alimentación de nuestros ancestros, eliminando alimentos procesados.	['Carnes de pasto', 'Pescados salvajes', 'Huevos', 'Frutas', 'Verduras', 'Frutos secos']	['Cereales', 'Legumbres', 'Lácteos', 'Azúcares refinados']	1800-2500 kcal	3 comidas principales, sin picoteo entre horas
J1KAZbGgY7ZpBmbgijkm	Dieta Proteica para Definición	Esta dieta está diseñada para personas que desean reducir el porcentaje de grasa corporal manteniendo o aumentando su masa muscular. Se caracteriza por un alto consumo de proteínas, moderado en grasas saludables y carbohidratos complejos estratégicamente distribuidos.	['Pollo', 'Pavo', 'Pescado blanco', 'Huevos', 'Claras de huevo', 'Tofu', 'Lentejas', 'Tempeh', 'Quinoa', 'Avena', 'Batata', 'Arroz integral', 'Espinacas', 'Brócoli', 'Aguacate', 'Nueces', 'Aceite de oliva', 'Frutos rojos']	['Azúcares refinados', 'Harinas refinadas', 'Alcohol', 'Alimentos procesados', 'Embutidos', 'Frituras', 'Bollería industrial', 'Refrescos']	1800-2200 kcal	5 comidas: desayuno, media mañana, almuerzo, merienda y cena
M6jut6amDUGkRkgwO4fk	Dieta Cetogénica	La dieta cetogénica es una alimentación baja en carbohidratos y alta en grasas que pone al cuerpo en un estado metabólico llamado cetosis. En este estado, el cuerpo se vuelve increíblemente eficiente en la quema de grasa para obtener energía y convierte la grasa en cetonas en el hígado, que pueden proporcionar energía al cerebro.	['Carnes', 'Pescados', 'Huevos', 'Aguacate', 'Aceite de coco', 'Aceite de oliva', 'Mantequilla', 'Ghee', 'Frutos secos', 'Quesos', 'Verduras de hoja verde', 'Brócoli', 'Coliflor', 'Espárragos', 'Champiñones']	['Azúcares', 'Cereales', 'Legumbres', 'Tubérculos', 'Frutas altas en azúcar', 'Harinas', 'Pasta', 'Arroz', 'Pan', 'Alcohol', 'Refrescos']	1600-2000 kcal	3-4 comidas: desayuno, almuerzo, cena y opcional merienda
NV1tbXCes2X37fCjIAV0	Dieta sin Gluten	Diseñada para personas con intolerancia al gluten, con alimentos naturalmente libres de este componente.	['Arroz', 'Quinoa', 'Verduras', 'Frutas', 'Carnes magras']	['Trigo', 'Cebada', 'Centeno']	1700-2100 kcal	3 comidas principales y 2 snacks
O7Cg9h61oKrH18epo0Sg	Dieta Mediterránea	Dieta tradicional rica en alimentos frescos y naturales, ideal para la salud cardiovascular.	['Aceite de oliva', 'Frutas', 'Verduras', 'Legumbres', 'Pescado', 'Frutos secos']	['Azúcares refinados', 'Harinas refinadas', 'Carnes procesadas']	1800-2500 kcal	3 comidas principales y 1-2 tentempiés
PJx7CqGJ5BX9GTRPMBlq	Dieta Crudívora	Alimentación basada en productos vegetales crudos o mínimamente procesados para preservar enzimas y nutrientes.	['Frutas crudas', 'Verduras crudas', 'Frutos secos sin tostar', 'Semillas germinadas', 'Aceites prensados en frío']	['Alimentos cocinados a más de 42°C', 'Procesados', 'Lácteos', 'Harinas']	1600-2000 kcal	4-5 comidas a lo largo del día
RynlgdWHE3neOJcNKWkA	Dieta Vegana Equilibrada	Dieta basada en alimentos vegetales que cubre todas las necesidades nutricionales con la debida planificación.	['Legumbres', 'Tofu', 'Tempeh', 'Frutas', 'Verduras', 'Semillas']	['Productos de origen animal', 'Miel', 'Gelatina']	1800-2400 kcal	4-5 comidas a lo largo del día
ZMHRrcOmnZafscZpnqYL	Dieta Mediterránea	La dieta mediterránea refleja los patrones alimentarios tradicionales de países como Grecia, Italia y España. Considerada una de las dietas más saludables del mundo, se caracteriza por un alto consumo de alimentos vegetales, pescado y aceite de oliva, con un consumo moderado de lácteos, huevos y vino, y un bajo consumo de carnes rojas.	['Aceite de oliva virgen extra', 'Frutas', 'Verduras', 'Legumbres', 'Frutos secos', 'Semillas', 'Pescado', 'Marisco', 'Yogur', 'Queso', 'Huevos', 'Aves (moderado)', 'Cereales integrales', 'Vino tinto (moderado)']	['Azúcares refinados', 'Harinas refinadas', 'Carnes procesadas', 'Bebidas azucaradas', 'Comida rápida', 'Exceso de carne roja']	1800-2500 kcal	3 comidas principales y 1-2 tentempiés
